Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
spring-cloud-alibaba,com.alibaba.cloud.examples,RestTemplateApplicationTest,runWithSpringAotModeAfterProcessAot,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,ApolloDataSourceFactoryBeanTests,testApolloFactoryBean,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,ApolloDataSourceFactoryBeanTests,testApolloFactoryBean,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.alibaba.cloud.sentinel.datasource.factorybean.ApolloDataSourceFactoryBean.setNamespaceName; com.alibaba.cloud.sentinel.datasource.factorybean.ApolloDataSourceFactoryBean.getDefaultFlowRuleValue; com.alibaba.cloud.sentinel.datasource.factorybean.ApolloDataSourceFactoryBean.setDefaultFlowRuleValue; com.alibaba.cloud.sentinel.datasource.factorybean.ApolloDataSourceFactoryBean.setConverter; com.alibaba.cloud.sentinel.datasource.factorybean.ApolloDataSourceFactoryBean.getObject; com.alibaba.cloud.sentinel.datasource.factorybean.ApolloDataSourceFactoryBean.getNamespaceName; com.alibaba.cloud.sentinel.datasource.factorybean.ApolloDataSourceFactoryBean.setFlowRulesKey; com.alibaba.cloud.sentinel.datasource.factorybean.ApolloDataSourceFactoryBean.getFlowRulesKey; com.alibaba.cloud.sentinel.datasource.factorybean.ApolloDataSourceFactoryBean.getConverter
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesConfigurationTests,testGetValidField,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesConfigurationTests,testGetValidField,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.alibaba.cloud.sentinel.datasource.config.ApolloDataSourceProperties.setNamespaceName; com.alibaba.cloud.sentinel.datasource.config.ApolloDataSourceProperties.setDefaultFlowRuleValue; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.setRuleType; com.alibaba.cloud.sentinel.datasource.config.DataSourcePropertiesConfiguration.setApollo; com.alibaba.cloud.sentinel.datasource.config.DataSourcePropertiesConfiguration.getValidField; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.setDataType; com.alibaba.cloud.sentinel.datasource.config.ApolloDataSourceProperties.setFlowRulesKey
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testApollo,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testApollo,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.alibaba.cloud.sentinel.datasource.config.ApolloDataSourceProperties.setDefaultFlowRuleValue; com.alibaba.cloud.sentinel.datasource.config.ApolloDataSourceProperties.setNamespaceName; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getRuleType; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getFactoryBeanName; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.setRuleType; com.alibaba.cloud.sentinel.datasource.config.ApolloDataSourceProperties.getFlowRulesKey; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getDataType; com.alibaba.cloud.sentinel.datasource.config.ApolloDataSourceProperties.setFlowRulesKey; com.alibaba.cloud.sentinel.datasource.config.ApolloDataSourceProperties.getNamespaceName; com.alibaba.cloud.sentinel.datasource.config.ApolloDataSourceProperties.getDefaultFlowRuleValue; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getConverterClass
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testZK,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testZK,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.alibaba.cloud.sentinel.datasource.config.ZookeeperDataSourceProperties.getDataId; com.alibaba.cloud.sentinel.datasource.config.ZookeeperDataSourceProperties.getServerAddr; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.setConverterClass; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getFactoryBeanName; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getRuleType; com.alibaba.cloud.sentinel.datasource.config.ZookeeperDataSourceProperties.setDataId; com.alibaba.cloud.sentinel.datasource.config.ZookeeperDataSourceProperties.setPath; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.setRuleType; com.alibaba.cloud.sentinel.datasource.config.ZookeeperDataSourceProperties.setServerAddr; com.alibaba.cloud.sentinel.datasource.config.ZookeeperDataSourceProperties.getPath; com.alibaba.cloud.sentinel.datasource.config.ZookeeperDataSourceProperties.getGroupId; com.alibaba.cloud.sentinel.datasource.config.ZookeeperDataSourceProperties.setGroupId; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getConverterClass
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testFileDefaultValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testFileDefaultValue,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.alibaba.cloud.sentinel.datasource.config.FileDataSourceProperties.getRecommendRefreshMs; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getFactoryBeanName; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getRuleType; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.setRuleType; com.alibaba.cloud.sentinel.datasource.config.FileDataSourceProperties.getBufSize; com.alibaba.cloud.sentinel.datasource.config.FileDataSourceProperties.setFile; com.alibaba.cloud.sentinel.datasource.config.FileDataSourceProperties.getFile; com.alibaba.cloud.sentinel.datasource.config.FileDataSourceProperties.getCharset
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testFileCustomValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testFileCustomValue,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.alibaba.cloud.sentinel.datasource.config.FileDataSourceProperties.getRecommendRefreshMs; com.alibaba.cloud.sentinel.datasource.config.FileDataSourceProperties.setCharset; com.alibaba.cloud.sentinel.datasource.config.FileDataSourceProperties.setRecommendRefreshMs; com.alibaba.cloud.sentinel.datasource.config.FileDataSourceProperties.getBufSize; com.alibaba.cloud.sentinel.datasource.config.FileDataSourceProperties.setFile; com.alibaba.cloud.sentinel.datasource.config.FileDataSourceProperties.getFile; com.alibaba.cloud.sentinel.datasource.config.FileDataSourceProperties.getCharset; com.alibaba.cloud.sentinel.datasource.config.FileDataSourceProperties.setBufSize
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,FileRefreshableDataSourceFactoryBeanTests,testFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,FileRefreshableDataSourceFactoryBeanTests,testFile,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.alibaba.cloud.sentinel.datasource.factorybean.FileRefreshableDataSourceFactoryBean.getConverter; com.alibaba.cloud.sentinel.datasource.factorybean.FileRefreshableDataSourceFactoryBean.getCharset; com.alibaba.cloud.sentinel.datasource.factorybean.FileRefreshableDataSourceFactoryBean.getRecommendRefreshMs; com.alibaba.cloud.sentinel.datasource.factorybean.FileRefreshableDataSourceFactoryBean.getFile; com.alibaba.cloud.sentinel.datasource.factorybean.FileRefreshableDataSourceFactoryBean.getBufSize
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,NacosDataSourceFactoryBeanTests,testNacosFactoryBeanServerAddr,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,NacosDataSourceFactoryBeanTests,testNacosFactoryBeanServerAddr,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.getDataId; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.getObject; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.setServerAddr; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.setDataId; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.setConverter; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.getServerAddr; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.getContextPath; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.getGroupId; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.setGroupId; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.getConverter; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.setContextPath
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,NacosDataSourceFactoryBeanTests,testNacosFactoryBeanProperties,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,NacosDataSourceFactoryBeanTests,testNacosFactoryBeanProperties,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.getNamespace; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.setDataId; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.setConverter; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.setGroupId; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.getAccessKey; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.getConverter; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.getSecretKey; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.setNamespace; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.setAccessKey; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.getEndpoint; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.getDataId; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.getObject; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.getGroupId; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.setEndpoint; com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean.setSecretKey
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,NacosDataSourcePropertiesTests,testNacosWithAddr,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,NacosDataSourcePropertiesTests,testNacosWithAddr,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.getDataId; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getRuleType; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getFactoryBeanName; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.setRuleType; com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.getGroupId; com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.setGroupId; com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.getContextPath; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getDataType; com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.setServerAddr; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.setDataType; com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.setContextPath; com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.setDataId
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,NacosDataSourcePropertiesTests,testNacosWithProperties,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,NacosDataSourcePropertiesTests,testNacosWithProperties,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.setAccessKey; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getRuleType; com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.setSecretKey; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.setRuleType; com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.getAccessKey; com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.getSecretKey; com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.getEndpoint; com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.setEndpoint; com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.getNamespace; com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties.setNamespace
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,RuleTypeTests,testGetByName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,RuleTypeTests,testGetByClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,SentinelConverterTests,testJsonConverter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,SentinelConverterTests,testXmlConverter,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,ZookeeperDataSourceFactoryBeanTests,testZKWithoutPathFactoryBean,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,ZookeeperDataSourceFactoryBeanTests,testZKWithoutPathFactoryBean,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.setConverter; com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.setGroupId; com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.getDataId; com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.getObject; com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.getConverter; com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.setServerAddr; com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.setDataId; com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.getGroupId; com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.getServerAddr
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,ZookeeperDataSourceFactoryBeanTests,testZKWithPathFactoryBean,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,ZookeeperDataSourceFactoryBeanTests,testZKWithPathFactoryBean,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.setConverter; com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.setPath; com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.getObject; com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.getConverter; com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.setServerAddr; com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.getPath; com.alibaba.cloud.sentinel.datasource.factorybean.ZookeeperDataSourceFactoryBean.getServerAddr
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,FeignClientCircuitBreakerRuleIntegrationTest,testDefaultRule,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,FeignClientCircuitBreakerRuleIntegrationTest,testSpecificFeignRule,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,FeignClientCircuitBreakerRuleIntegrationTest,testSpecificFeignMethodRule,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerIntegrationTest,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerTest,testCreateWithNullRule,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerIntegrationTest,testSlow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerTest,testCreateDirectlyThenRun,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerTest,testCreateWithNullRule,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerTest,testRunWithFallback,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,testIsResolvable_givenCorrectPrefix_thenReturnTure,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,testStartWithASlashIsOK,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,whenCustomizeSuffix_thenOverrideDefault,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,testUrisInLocationShouldOverridesProperty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,testSetCommonPropertiesIsOK,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,testSetCommonPropertiesIsOK,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.alibaba.cloud.nacos.NacosConfigProperties.getUsername; com.alibaba.cloud.nacos.NacosConfigProperties.getServerAddr; com.alibaba.cloud.nacos.NacosConfigProperties.getPassword; com.alibaba.cloud.nacos.configdata.NacosConfigDataResource.getProperties
